Unnamed: 0,id,original_language,original_title,popularity,release_date,vote_average,vote_count,genre,overview,revenue,runtime,tagline,Unnamed: 13,Unnamed: 14
4517,250480.0,en,The Many Adventures of Winnie the Pooh,0.4245854089160728,1977-03-11,7.3,730,"['Animation', 'Family']","Whether we’re young or forever young at heart, the Hundred Acre Wood calls to that place in each of us that still believes in magic. Join pals Pooh, Piglet, Kanga, Roo, Owl, Rabbit, Tigger and Christopher Robin as they enjoy their days together and sing their way through adventures.",0.0,74,Hip Hip Poohray!,,
4518,29896.0,en,Never Cry Werewolf,0.4662652121823569,2008-05-11,5.6,69,['Horror'],"Jared Martin moves next door to the Hansetts, along with his hot motorcycle and eerie, ill-tempered dog. Although everyone else in the neighborhood takes an instant liking to him, Loren Hansett can't get over the bad vibes her new neighbor gives her. She starts to spy on his nocturnal activities and comes to believe that a recent killing might the work of a werewolf who happens to be her new neighbor. Her internet surfing provides a lot of collaborative detail but everyone but her friend Steven dismiss her story as teen-aged fantasy. Fearing for her life, she convinces Steven to take her to a gun shop to buy silver bullets in a gun shop, where their neighbor's supernatural dog attacks. When she dispatches the beast, her actions get the attention of Redd Tucker, a washed-up TV hunting show host to believe her as well. When Steven is attacked by the werewolf and Loren's brother goes missing, she and Redd team up to kill the lycanthrope before he can finish them both off.",0.0,87,An Immortal Battle for Survival,,
4519,610394.0,en,The Haunting of La Llorona,0.31168421716375555,2019-05-17,5.6,5,['Horror'],"The screams of the children echo throughout the night as a violent reminder of a demon of the past. La Llorona, a paranormal force has returned and seeks the blood of the innocent, proving that the legend is real.",0.0,71,,,
4520,10651.0,en,The Dead Pool,0.40878996153603625,1988-04-14,6.3,575,"['Action', 'Crime', 'Thriller']","Dirty Harry Callahan returns for his final film adventure. Together with his partner Al Quan, he must investigate the systematic murder of actors and musicians. By the time Harry learns that the murders are a part of a sick game to predict the deaths of celebrities before they happen, it may be too late...",0.8042918502292616,91,Dirty Harry Just Learned A New Game.,,
4521,374473.0,en,"I, Daniel Blake",0.29084431553061346,2016-10-21,7.8,1060,['Drama'],"A middle aged carpenter, who requires state welfare after injuring himself, is joined by a single mother in a similar scenario.",0.3351218465190187,100,,,
4524,663124.0,en,Glass Houses,0.41812220190428134,2020-01-09,6.1,9,"['Thriller', 'TV Movie']","Teenage babysitter Carrie Dawson has a chip on her shoulder on the heels of a humiliating family scandal. When she finds out that neighborhood Queen Bee Madeline Cooper may be to blame, she is determined to exact revenge - even if it means discovering and exposing Madeline's own scandalous secret. As Carrie gets closer to the truth, will Madeline's world come tumbling down?",0.0,90,,,
4525,149871.0,ja,かぐや姫の物語,0.3616243142695,2013-11-23,8.1,1224,"['Animation', 'Drama', 'Fantasy']","Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthrals all who encounter her. But, ultimately, she must confront her fate, the punishment for her crime.",0.517050109710513,137,A princess's crime and punishment,,
4527,85872.0,fr,Comme un chef,0.35371082665994064,2012-03-07,6.2,425,['Comedy'],"A veteran chef faces off against his restaurant group's new CEO, who wants to the establishment to lose a star from its rating in order to bring in a younger chef who specializes in molecular gastronomy.",0.006508553239757125,84,Competition Can Be Delicious,,
4528,77234.0,en,The Numbers Station,0.39315215335140924,2013-04-18,5.5,433,"['Action', 'Thriller']","When the moral values of a longtime wetwork black ops agent is tested during his last operation, he receives an unfavorable psych evaluation. Now he is given a break and a seemingly uncomplicated assignment of simply protecting the security of a young female code announcer, code resources and remote station they are assigned to. After an ambush and one phone call later, it becomes a complicated fight for their survival.",0.0,90,The code has never been compromised. Until now.,,
4529,201676.0,en,My Little Pony: Equestria Girls,0.4467179519515731,2013-06-16,7.2,167,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Music']","Via a magic mirror, Twilight Sparkle travels into an alternate universe in order to recover a crown that was stolen from the Crystal Empire. Upon her arrival she is horrified to learn that she has turned into a human.",0.0,72,The magic of friendship never changes.,,
4530,375315.0,fa,فروشنده,0.3538054101771864,2016-06-24,7.3,629,"['Drama', 'Thriller']","Forced out of their apartment due to dangerous works on a neighboring building, Emad and Rana move into a new flat in the center of Tehran. An incident linked to the previous tenant will dramatically change the young couple’s life.",0.14755252879522993,125,,,
4531,670892.0,en,Escuadrón suicida,0.420360678479097,1991-01-01,6.0,4,[],"A group of professional commandos have to rescue a young female hostage from the drug cartel. Once in the jungle, they're being killed one by one by a fearful enemy.",0.0,0,Worst Heroes Ever,,
4533,342737.0,en,20th Century Women,0.4404123841351913,2016-12-28,7.3,901,['Drama'],"In 1979 Santa Barbara, California, Dorothea Fields is a determined single mother in her mid-50s who is raising her adolescent son, Jamie, at a moment brimming with cultural change and rebellion. Dorothea enlists the help of two younger women – Abbie, a free-spirited punk artist living as a boarder in the Fields' home and Julie, a savvy and provocative teenage neighbour – to help with Jamie's upbringing.",0.12020389041828983,119,,,
4535,293646.0,en,The 33,0.3993316098114634,2015-08-06,6.3,774,"['Drama', 'History']","Based on a true story about the collapse at the mine in San Jose, Chile that left 33 miners isolated underground for 69 days.",0.5284252241768634,120,Hope Runs Deep,,
4536,499088.0,en,Maya the Bee: The Honey Games,0.39346743174222826,2018-02-02,6.8,42,"['Comedy', 'Family', 'Animation', 'Adventure']","When an overenthusiastic Maya accidentally embarrasses the Empress of Buzztropolis, she is forced to unite with a team of misfit bugs and compete in the Honey Games for a chance to save her hive.",0.0,85,,,
4537,656563.0,pt,Ricos de Amor,0.48048426760829804,2020-04-30,7.8,501,"['Comedy', 'Romance']","Working incognito at his rich dad's company to test his own merits, Teto falls for Paula and tells her he grew up poor, a lie that spins out of control.",0.0,104,,,
4540,317744.0,en,Careful What You Wish For,0.5663345734283372,2015-05-06,6.1,312,"['Drama', 'Thriller']","A guy gets more than he bargained for after entering into an affair with the wife of an investment banker. Soon, a suspicious death and substantial life insurance policy embroil him in a scandal.",0.0,91,Wanting her was his first mistake,,
4543,619278.0,en,Inside Man: Most Wanted,0.40125480799545993,2019-09-24,6.7,211,"['Action', 'Thriller']",An NYPD hostage negotiator teams up with a federal agent to rescue dozens of tourists held hostage during a 10-hour seige at the U.S. Federal Reserve.,0.0,106,,,
4545,729097.0,ko,젊은엄마 5,0.44277697206633443,2020-04-03,4.3,2,"['Drama', 'Romance']","Ji-suk, a wealthy mother, wants to send her son, Se-hyuk, to the medical school. While looking for a competent private education coordination, Although it succeeded in recruiting a high-ranking entrance exam coordinator,'Starring', which only a few elite students selected. After hearing the rumors,'Namjae,' the father of Euntae, a high school examinee next door, hears rumors and comes to contact the main character. Like this, the parents of Se-hyeok and Eun-tae's neighbors 'Starring', who was in a difficult situation after entering a strange competition Eventually, I would share the day of the week to go to both houses to teach Se-hyuk and Eun-tae. Although they will agree with the two families, Eun Tae, who is a senior high school student, is in medical school. Not interested and only busy with high school girlfriends Se-hyuk starts talking to a beautiful tutor, starring than the entrance exam.",0.0,95,,,
4546,483104.0,en,A Christmas Prince,0.3062614288416671,2017-11-17,6.7,1225,"['Romance', 'TV Movie']","When a reporter goes undercover as a nanny to get the inside scoop on a playboy prince, she gets tangled in some royal intrigue and ends up finding love - but will she be able to keep up her lie?",0.0,92,She's looking for a scoop. He's looking for a queen.,,
4547,496096.0,es,Una mujer sin filtro,0.2904975093007125,2018-01-12,7.7,102,['Comedy'],"Paz, a kind woman, has allowed everyone around her to treat her as if she were worth nothing, keeping silent so as not to hurt feelings. Until one day, in her head, a phenomenon forces her to express what she feels.",0.0,90,,,
4548,46705.0,en,Blue Valentine,0.37530739643104855,2010-12-16,6.9,2501,"['Drama', 'Romance']","Dean and Cindy live a quiet life in a modest neighborhood. They appear to have the world at their feet at the outset of the relationship. However, his lack of ambition and her retreat into self-absorption cause potentially irreversible cracks in their marriage.",0.3276373200991082,112,Nobody Baby But You And Me.,,
4549,42941.0,en,30 Days of Night: Dark Days,0.47146730563087197,2010-10-04,5.0,356,"['Horror', 'Thriller']","After surviving the incidents in Barrow, Alaska, Stella Olemaun relocates to Los Angeles, where she intentionally attracts the attention of the local vampire population in order to avenge the death of her husband, Eben.",0.0,92,Don't walk into the dark.,,
4551,14092.0,ja,攻殻機動隊 2.0,0.4004666120184122,2008-07-12,7.5,281,"['Action', 'Animation', 'Science Fiction']","In the year 2029, Section 9, a group of cybernetically enhanced cops, are called in to investigate and stop a highly-wanted hacker known as 'The Puppetmaster'.  Ghost in the Shell 2.0 is a reproduced version of its original 1995 counterpart. Among a numerous enhancements, for the film's 2.0 release, were a number of scenes were overhauled with 3D animation, visual improvements, and soundtrack rerecorded in 6.1 surround sound.",0.0,85,It Found A Voice... Now It Needs A Body,,
4553,164.0,en,Breakfast at Tiffany's,0.32949744624503424,1961-10-06,7.7,3350,"['Comedy', 'Romance']","Holly Golightly is an eccentric New York City playgirl determined to marry a Brazilian millionaire. But when young writer Paul Varjak moves into her apartment building, her past threatens to get in their way.",0.2015859723324314,114,"Audrey Hepburn plays that daring, darling Holly Golightly to a new high in entertainment delight!",,
4554,483202.0,en,Eli,0.30657670723248626,2019-10-18,6.0,1022,['Horror'],"A boy named Eli with a rare autoimmune disorder is confined to a special experimental clinic for his treatment. He soon begins experiencing supernatural forces, turning the supposedly safe facility into a haunted prison for him and his fellow patients.",0.0,98,,,
4555,347026.0,en,A United Kingdom,0.30607226180717567,2016-11-25,6.8,421,"['Drama', 'History']","The inspiring true story of Seretse Khama, the King of Bechuanaland (modern Botswana), and Ruth Williams, the London office worker he married in 1948 in the face of fierce opposition from their families and the British and South African governments. Seretse and Ruth defied family, Apartheid and empire - their love triumphed over every obstacle flung in their path and in so doing they transformed their nation and inspired the world.",0.29323627074863406,111,The true story of a love that shook an empire,,
4556,553610.0,ja,機動戦士ガンダムNT,0.4468755911469828,2018-11-30,7.3,7,"['Animation', 'Science Fiction', 'Action']","U.C. 0097, one year after the opening of ""Laplace's Box"".  Despite the revelation of the Universal Century Charter that acknowledges the existence and rights of Newtypes, the framework of the world has not been greatly altered.  The conflict later dubbed the ""Laplace Incident"" is thought to have ended with the downfall of the Neo Zeon remnants known as the Sleeves. In its final battle, two full psycho-frame mobile suits displayed power beyond human understanding. The white unicorn and the black lion were sealed away to remove this danger from people's consciousness, and they should now be completely forgotten.  However, the RX-0 Unicorn Gundam 03, which disappeared two years earlier, is now about to show itself in the Earth Sphere once more. A golden phoenix… named Phenex.",0.0,90,The Destination of the Newtype Myth.,,
